datasourceid,time,rolling_pm25_24h,rolling_no2_24h
DFFDA0268,2026-01-27T01:40:55.000Z,7.994999999999999,
DFFDA0268,2026-02-10T04:01:43.000Z,18.06,17.84
DFIBC1899,2026-01-26T12:36:08.000Z,12.61,
DFIBC1899,2026-01-27T00:05:35.000Z,11.33,
DFIBC1899,2026-01-27T01:21:07.000Z,14.453333333333333,
DFIBC1899,2026-01-27T01:30:01.000Z,15.68,
DFIBC1899,2026-01-27T04:49:55.000Z,14.978,
DFIBC1899,2026-01-27T10:08:51.000Z,15.013333333333334,
DFIBC1899,2026-01-27T12:44:15.000Z,15.406666666666666,
DFIRX1818,2026-01-26T20:31:52.000Z,16.38,
DFIRX1818,2026-01-27T03:27:39.000Z,17.494999999999997,
DFIRX1818,2026-01-27T05:28:54.000Z,17.866666666666664,
DFIRX1818,2026-02-10T23:27:15.000Z,24.19,10.88
DFKYH6865,2026-01-26T19:00:29.000Z,7.98,
DFKYH6865,2026-01-26T19:35:34.000Z,9.86,
DFKYH6865,2026-01-27T00:33:40.000Z,9.266666666666666,
DFKYH6865,2026-01-27T07:52:12.000Z,11.155,
DFKYH6865,2026-01-27T10:47:33.000Z,11.354,
DFKYH6865,2026-02-10T23:49:29.000Z,22.02,15.62
DFKYP0941,2026-01-26T17:33:16.000Z,6.66,
DFKYP0941,2026-01-27T03:01:12.000Z,7.75,
DFMDU1576,2026-01-27T06:46:25.000Z,17.84,
DFMDU1576,2026-02-10T04:50:23.000Z,23.09,27.04
DFNBI6922,2026-01-26T13:22:56.000Z,7.09,
DFNBI6922,2026-01-26T13:40:10.000Z,7.57,
DFNBI6922,2026-01-26T14:31:51.000Z,8.153333333333334,
DFNBI6922,2026-01-26T22:51:19.000Z,8.715,
DFNBI6922,2026-01-27T04:53:26.000Z,10.256,
DFNBI6922,2026-01-27T10:55:22.000Z,10.08,
DFNHF0256,2026-01-27T08:18:37.000Z,13.45,
DFNHF0256,2026-01-27T14:21:33.000Z,11.07,
DFQDK6326,2025-11-11T11:07:39.497Z,,
DFQDK6326,2026-01-26T12:38:51.000Z,7.48,
DFQDK6326,2026-01-26T22:34:30.000Z,9.645,
DFQDK6326,2026-01-26T23:09:30.000Z,12.053333333333333,
DFQDK6326,2026-01-27T06:11:21.000Z,12.41,
DFQDK6326,2026-01-27T10:51:31.000Z,12.7,
DFRKF1779,2026-01-26T16:33:50.000Z,9.93,
DFRKF1779,2026-01-26T23:13:36.000Z,11.719999999999999,
DFRKF1779,2026-01-27T04:43:55.000Z,13.443333333333333,
DFRKF1779,2026-01-27T11:40:52.000Z,14.1025,
DFVRF7063,2026-01-26T14:43:03.000Z,8.1,
DFVRF7063,2026-02-10T03:30:48.000Z,22.48,21.05
DGAID0757,2026-02-10T06:55:32.000Z,14.58,12.69
DGDNA0617,2026-01-26T19:40:06.000Z,13.42,
DGDNA0617,2026-01-26T20:14:58.000Z,12.475,
DGDNA0617,2026-01-26T23:09:17.000Z,12.39,
DGDNA0617,2026-02-10T23:34:38.000Z,24.29,15.5
DGEPF8361,2026-01-27T02:59:09.000Z,33.77,
DGEPF8361,2026-01-27T05:51:30.000Z,29.17,
DGEPF8361,2026-02-10T20:30:07.000Z,21.28,12.47
DGGGM0466,2026-01-26T14:36:50.000Z,7.22,
DGGGM0466,2026-01-26T20:17:43.000Z,7.115,
DGGGM0466,2026-01-27T01:58:39.000Z,7.2,
DGGGM0466,2026-01-27T03:40:56.000Z,9.2675,
DGGGM0466,2026-02-10T20:00:39.000Z,15.8,15.27
DGGGM0466,2026-02-10T20:51:37.000Z,15.84,15.54
DGHRH9009,2026-01-27T03:12:51.000Z,10.03,
DGHRH9009,2026-01-27T04:04:52.000Z,8.515,
DGHRH9009,2026-01-27T08:07:22.000Z,7.66,
DGHRH9009,2026-02-10T15:25:30.000Z,16.32,29.14
DGKDK3415,2026-01-26T12:23:49.000Z,7.01,
DGKDK3415,2026-01-26T19:45:47.000Z,7.279999999999999,
